title,make,model,year,condition,transmission,price
Toyota Highlander XSE 2022 Black,Toyota,Highlander XSE,2022,,automatic,"₦ 78,000,000"
Mercedes-Benz GLC-Class AMG GLC 63 S E PERFORMANCE AWD 2025 Black,Mercedes-Benz,GLC-Class AMG,2025,,automatic,"₦ 160,000,000"
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5A) 2008 Red,Toyota,Camry LE,2008,local used,automatic,"₦ 7,500,000"
Toyota Highlander LE 4x2 (2.7L 4cyl 6A) 2018 Gray,Toyota,Highlander LE,2018,,automatic,"₦ 31,650,000"
Mercedes-Benz M Class ML 350 4Matic 2010 Black,Mercedes-Benz,M Class,2010,,automatic,"₦ 13,500,000"
Toyota Highlander Limited 2012 Blue,Toyota,Highlander Limited,2012,,automatic,"₦ 22,108,000"
Toyota Highlander XLE 4x4 V6 (3.5L 6cyl 8A) 2017 White,Toyota,Highlander XLE,2017,,automatic,"₦ 33,980,000"
Toyota Highlander Limited 4dr SUV (3.5L 6cyl 6A) 2015 Gray,Toyota,Highlander Limited,2015,,automatic,"₦ 30,580,000"
Rover Land 2014 Black,Rover,Land,2014,,,"₦ 56,953,125"
Mercedes-Benz GLK-Class 2010 White,Mercedes-Benz,GLK-Class,2010,,automatic,"₦ 16,500,000"
Lexus RX 350 2019 Black,Lexus,RX 350,2019,,automatic,"₦ 60,000,000"
Honda Accord 2017 Silver,Honda,Accord,2017,,automatic,"₦ 21,000,000"
Toyota Sienna 2016 Black,Toyota,Sienna,2016,,automatic,"₦ 28,000,000"
Honda Accord 2013 Silver,Honda,Accord,2013,,automatic,"₦ 18,000,000"
Lexus RX 2009 Green,Lexus,RX,2009,,automatic,"₦ 16,500,000"
Lexus RX 350 F Sport AWD 2019 Black,Lexus,RX 350,2019,,automatic,"₦ 64,200,000"
Lexus GX 470 2009 Gold,Lexus,GX 470,2009,,automatic,"₦ 23,000,000"
Toyota Highlander 2018 Gray,Toyota,Highlander,2018,,automatic,"₦ 41,000,000"
Mercedes-Benz C300 2009 White,Mercedes-Benz,C300,2009,local used,automatic,"₦ 8,250,000"
Toyota Land Cruiser Prado 4.0 Petrol GX-R 2014 Black,Toyota,Land Cruiser,2014,,automatic,"₦ 59,500,000"
Mercedes-Benz GLE-Class GLE 350 2017 Blue,Mercedes-Benz,GLE-Class GLE,2017,,automatic,"₦ 47,000,000"
Toyota Venza V6 AWD 2010 Silver,Toyota,Venza V6,2010,local used,automatic,"₦ 13,800,000"
Mercedes-Benz GLA 250 2018 Black,Mercedes-Benz,GLA 250,2018,,automatic,"₦ 34,900,000"
Hyundai Sonata Sport 2.0T 2018 Black,Hyundai,Sonata Sport,2018,,automatic,"₦ 26,800,000"
Lexus IS 250 2008 Silver,Lexus,IS 250,2008,local used,automatic,"₦ 9,000,000"
Lexus RC 300 AWD 2017 Gray,Lexus,RC 300,2017,,automatic,"₦ 38,000,000"
Mercedes-Benz GLE-Class GLE 350 4MATIC 2020 Gray,Mercedes-Benz,GLE-Class GLE,2020,,automatic,"₦ 90,000,000"
Toyota Venza 2013 Black,Toyota,Venza,2013,local used,automatic,"₦ 14,000,000"
Lexus ES 350 FWD 2014 Black,Lexus,ES 350,2014,,automatic,"₦ 23,800,000"
Mercedes-Benz C300 2017 Blue,Mercedes-Benz,C300,2017,,automatic,"₦ 26,000,000"
Ford Escape ST-Line 2024 Black,Ford,Escape ST-Line,2024,,automatic,"₦ 68,600,009"
Hyundai Azera Limited 2014 White,Hyundai,Azera Limited,2014,,automatic,"₦ 15,900,000"
Mercedes-Benz GLE-Class GLE 350 2017,Mercedes-Benz,GLE-Class GLE,2017,,automatic,"₦ 35,500,000"
Lexus RX 2000 Silver,Lexus,RX,2000,local used,automatic,"₦ 4,190,000"
Toyota Sienna 2010 Black,Toyota,Sienna,2010,local used,automatic,"₦ 7,800,000"
Mini Cooper S 2012,Mini,Cooper S,2012,,automatic,"₦ 18,200,000"
Mercedes-Benz GLE-Class GLE 350 2017 Black,Mercedes-Benz,GLE-Class GLE,2017,,automatic,"₦ 42,000,000"
Toyota Sequoia Limited 4dr SUV 4WD (5.7L 8cyl 6A) 2010 Black,Toyota,Sequoia Limited,2010,,automatic,"₦ 25,000,000"
Toyota Corolla LE Eco Plus 4dr Sedan (1.8L 4cyl CVT) 2015 Red,Toyota,Corolla LE,2015,,automatic,"₦ 14,000,000"
Nissan Almera 2005 Silver,Nissan,Almera,2005,local used,manual,"₦ 2,850,000"
Toyota Corolla S 4dr Sedan (1.8L 4cyl 4A) 2013 Red,Toyota,Corolla S,2013,,automatic,"₦ 11,000,000"
Honda Crosstour 2014 White,Honda,Crosstour,2014,,automatic,"₦ 17,500,000"
Mercedes-Benz GLE43 3.0 AWD 2019 Black,Mercedes-Benz,GLE43 3,2019,,automatic,"₦ 77,000,000"
Mercedes-Benz GLK-Class 2013 Gray,Mercedes-Benz,GLK-Class,2013,,automatic,"₦ 23,000,000"
Lexus ES 350 2009 Black,Lexus,ES 350,2009,local used,automatic,"₦ 9,300,000"
Hyundai Sonata Limited 4dr Sedan (2.4L 4cyl 6A) 2015 Silver,Hyundai,Sonata Limited,2015,,automatic,"₦ 16,800,000"
Toyota Venza V6 2011 White,Toyota,Venza V6,2011,,automatic,"₦ 22,000,000"
Toyota RAV4 SE AWD (2.5L 4cyl 6A) 2017 White,Toyota,RAV4 SE,2017,,automatic,"₦ 28,000,000"
Toyota Highlander XLE V6 4x4 (3.5L 6cyl 6A) 2016 Gray,Toyota,Highlander XLE,2016,,automatic,"₦ 36,000,000"
Ford Edge 2015 Blue,Ford,Edge,2015,,automatic,"₦ 13,622,000"
Toyota Camry XLE V6 4dr Sedan (3.5L 6cyl 6AM) 2008 Black,Toyota,Camry XLE,2008,local used,automatic,"₦ 6,800,000"
Lexus GX 460 2012 Black,Lexus,GX 460,2012,local used,automatic,"₦ 31,000,000"
Toyota Highlander XLE 4x2 V6 (3.5L 6cyl 8A) 2018 Gray,Toyota,Highlander XLE,2018,,automatic,"₦ 38,000,000"
Honda Accord 2014 Black,Honda,Accord,2014,local used,automatic,"₦ 13,800,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2014 Red,Toyota,Camry SE,2014,,automatic,"₦ 14,800,000"
Mercedes-Benz E350 Base 4Matic Sedan AWD (3.5L 6cyl 7A) 2014 White,Mercedes-Benz,E350 Base,2014,,automatic,"₦ 24,800,000"
Toyota Venza AWD 2010 Brown,Toyota,Venza AWD,2010,,automatic,"₦ 18,700,000"
Lexus ES 350 F Sport 2022 Black,Lexus,ES 350,2022,,automatic,"₦ 62,000,000"
Toyota Sienna XLE 8 Passenger (3.5L 6cyl 6A) 2016 White,Toyota,Sienna XLE,2016,,automatic,"₦ 29,500,000"
Mitsubishi Spacestar 2004 Silver,Mitsubishi,Spacestar,2004,,manual,"₦ 5,800,000"
Toyota Camry XSE FWD 2020 Blue,Toyota,Camry XSE,2020,local used,automatic,"₦ 24,000,000"
Lexus RX 350 2010 Gray,Lexus,RX 350,2010,,automatic,"₦ 20,000,000"
Toyota Sienna 2002 Blue,Toyota,Sienna,2002,local used,automatic,"₦ 3,800,000"
Toyota Yaris 2010 Silver,Toyota,Yaris,2010,,automatic,"₦ 9,500,000"
Toyota RAV4 LE AWD 2019 Silver,Toyota,RAV4 LE,2019,,automatic,"₦ 37,000,000"
Toyota Camry 2011 Silver,Toyota,Camry,2011,,automatic,"₦ 11,700,000"
Lexus RX 350 2014 White,Lexus,RX 350,2014,,automatic,"₦ 227,800,000"
